voedselnaam,Alpha-tocopherol,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
Acidophilus milk,0.089,122.57142857142857,0.007000000000000001,11.6,95.42857142857143,153.42857142857142,0.0014128571428571428,0.05600000000000001,0.42857142857142855,0.9571428571428572,0.18142857142857144,0.03328571428571429,0.00020285714285714286,0.03957142857142858,0.2233333333333333,0.001
"Acidophilus milk, QUAL Semi-skimmed",0.037,109.22857142857143,0.046,10.228571428571428,84.42857142857143,138.42857142857142,0.001,0.067,0.3871428571428571,0.6900000000000001,0.16114285714285712,0.027571428571428573,0.0002357142857142857,0.038,0.022333333333333334,0.0
"Acidophilus milk, QUAL Skim",,117.28571428571429,0.005200000000000001,12.285714285714286,93.85714285714286,149.71428571428572,0.0010857142857142858,0.092,0.41857142857142854,0.712,0.1737142857142857,0.03485714285714286,0.00022285714285714286,0.04028571428571429,0.09,0.0
Alcoholic sweet sauce,0.865,26.0,0.084,7.0,95.0,65.0,,1.3190000000000002,0.711,0.9560000000000001,0.087,0.037,0.0004,0.041,0.865,0.002
Alcopop and flavoured wine,,4.2,0.031,1.0,6.0,2.6,0.0,0.031,0.014,0.0,0.0,0.0,0.0,0.001,0.0,0.0
Ale beer,0.0,5.0,0.05000000000000001,9.0,22.428571428571427,43.0,,0.001,0.11333333333333333,0.943,0.04,0.001,0.0001,0.03428571428571429,0.0,0.0
Alfalfa sprouts,0.15000000000000002,32.0,0.159,27.0,70.0,79.0,0.001,1.0,0.9057142857142857,1.3830000000000002,0.09885714285714285,0.061714285714285715,0.0,0.031142857142857142,0.074,0.0305
"Alfalfa sprouts, PROCESS Cooking in water",0.095,33.0,0.166,24.0,70.0,65.0,,0.8950000000000001,0.856,1.304,0.111,0.063,0.0,0.029,0.095,0.0305
"Alfalfa sprouts, PROCESS Steaming",0.094,30.485714285714288,0.16628571428571431,25.0,84.57142857142857,111.28571428571429,,0.988857142857143,0.7265714285714285,1.3511428571428572,0.1285714285714286,0.07257142857142858,0.0,0.05071428571428571,0.094,0.0305
Allspice fruit,,493.74285714285713,0.6785714285714286,106.34285714285714,96.57142857142857,945.7142857142857,0.005,5.957142857142856,1.0,4.15,0.10285714285714286,0.08571428571428573,0.0,0.21714285714285714,4.5,0.0
Almond drink,0.03,15.571428571428571,,16.5,32.142857142857146,50.0,0.0005,0.31428571428571433,0.17142857142857146,0.1,0.017142857142857144,0.03142857142857143,0.0,0.05,0.294,0.0
Almonds sweet,24.0,229.71428571428572,0.8717142857142858,259.85714285714283,508.85714285714283,766.8571428571429,0.0019571428571428574,3.7157142857142853,3.120857142857143,7.2865714285714285,0.5798571428571428,0.23142857142857146,0.0,0.09342857142857142,24.5346,0.0
